City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
81,Sinnamary,60,GF,1651163255,74,5.3833,-52.95,82.94,10.51
82,Muskogee,100,US,1651163459,87,35.5834,-95.3336,60.15,3.44
83,Hwange,1,ZW,1651163460,62,-18.3693,26.5019,68.52,5.14
84,Sitka,75,US,1651163460,76,57.0531,-135.33,44.49,3.44
85,Izumo,79,JP,1651163461,82,35.3667,132.7667,57.15,10.74
86,Chokurdakh,94,RU,1651163349,100,70.6333,147.9167,-11.22,3.74
87,Cam Ranh,40,VN,1651163461,83,11.9214,109.1591,82.36,5.75
88,Phalodi,5,IN,1651163462,10,27.1333,72.3667,90.61,14.09
89,Coahuayana Viejo,21,MX,1651163462,39,18.7333,-103.6833,89.87,6.85
90,Ambon City,89,ID,1651163462,77,-3.6954,128.1814,81.19,0.92
91,Oleksandrivka,49,UA,1651163463,54,46.8383,32.7612,59.38,7.67
92,Avarua,40,CK,1651163463,83,-21.2078,-159.775,78.85,10.36
93,Bonthe,95,SL,1651163464,69,7.5264,-12.505,85.33,10.02
94,Emerald,48,AU,1651163349,94,-23.5333,148.1667,66.34,5.75
95,Sumbe,58,AO,1651163464,85,-11.2061,13.8437,77.45,5.68
96,Lüderitz,0,NA,1651163465,65,-26.6481,15.1594,63.1,6.8
97,Kumul,98,CN,1651163465,15,42.8,93.45,61.03,16.06
98,Tiksi,47,RU,1651163466,99,71.6872,128.8694,-4.38,5.99
99,Kishtwār,100,IN,1651163466,74,33.3167,75.7667,59.2,6.24
100,Saskylakh,100,RU,1651163379,94,71.9167,114.0833,25.5,11.36
101,Yangi Marg`ilon,99,UZ,1651163467,45,40.4272,71.7189,68.72,4.61
102,Kavaratti,66,IN,1651163467,71,10.5669,72.642,85.8,5.66
103,Jamestown,0,US,1651163468,42,42.097,-79.2353,44.53,11.5
104,Labuhan,100,ID,1651163468,86,-6.8844,112.2051,79.75,4.23
105,Dudinka,81,RU,1651163230,99,69.4058,86.1778,5.61,2.35
106,Yumen,94,CN,1651163469,20,40.2833,97.2,50.63,7.09
107,Port Macquarie,99,AU,1651163469,92,-31.4333,152.9167,65.89,7.56
108,Beringovskiy,97,RU,1651163470,93,63.05,179.3167,19.33,6.58
109,Karlshamn,86,SE,1651163470,64,56.1706,14.8619,56.91,8.21
110,Adrar,0,MR,1651163470,6,20.5022,-10.0711,92.16,5.37
111,Zaysan,0,KZ,1651163471,37,47.4667,84.8667,50.83,7.14
112,Samarai,23,PG,1651163471,80,-10.6167,150.6667,81.37,10.56
113,Yellowknife,20,CA,1651163471,55,62.456,-114.3525,34.32,17.27
114,Buraidah,77,SA,1651163472,48,26.326,43.975,77.45,8.57
115,Bereket,6,TM,1651163472,32,39.2446,55.5154,80.82,7.96
116,San Francisco,75,US,1651163405,70,37.7749,-122.4194,57.76,21.85
117,Dawlatabad,100,AF,1651163472,34,36.4141,64.9053,80.55,5.44
118,Islamkot,0,PK,1651163473,51,24.6997,70.177,84.63,13.94
119,Kapaa,100,US,1651163473,95,22.0752,-159.319,72.12,12.66
120,Alcúdia,89,ES,1651163474,79,39.8532,3.1214,70.2,11.59
121,Leeton,0,AU,1651163474,100,-34.5667,146.4,58.89,3.44
122,Ponta do Sol,99,PT,1651163474,74,32.6667,-17.1,67.71,1.54
123,Garanhuns,83,BR,1651163475,61,-8.8903,-36.4928,78.15,12.15
124,Eldorado,53,BR,1651163205,44,-23.7869,-54.2836,87.67,7.85
125,Manzhouli,100,CN,1651163475,35,49.6,117.4333,37.99,9.06
126,Nānākuli,75,US,1651163475,73,21.3906,-158.1547,73.35,4.61
127,Katsuura,57,JP,1651163476,78,35.1333,140.3,59.16,11.16
